lat,lon,cod_ibge
-19.5244392928732,-42.0299070264021,316095
-1.37402444402422,-47.5211235056867,150660
-7.64998221353965,-41.8643318384722,220210
-6.76501590418983,-41.2628270243697,221037
-22.5680827095943,-49.3050850516931,353657
-20.1475159766163,-41.7959568206,312352
-6.47441262402798,-37.9485933185313,250230
-7.14708755414399,-37.3001561134359,251460
-14.2790343898146,-42.2990402996098,291200
-26.9755528492824,-52.6415146604432,420435
-29.9304691358261,-50.1172726736105,431033
-6.06859084614139,-37.7300805642376,241060
-0.870175355785471,-47.9640209367268,150746
-7.02123256737358,-41.1480838820323,220420
-9.54090052844094,-37.009916404774,270440
-18.4882971117929,-41.1014025764778,314467
-28.7719487524793,-52.0212373475198,432235
-20.9316092344227,-49.4369218438907,350460
-22.1471691762303,-45.4247320944919,311720
-23.3418558553371,-52.4797904792064,412460
-11.7267801293964,-39.153072051914,291330
-6.9179366124176,-41.0376989429661,220650
-16.5959158110736,-49.6793299941151,521910
-7.20372201254473,-40.932736331164,221160
-12.6087823976809,-40.8408045659709,291260
-6.48590128151905,-53.8862540199677,150060
-2.5827777322783,-44.091963819956,211120
-11.3802201520928,-39.4510311953734,293300
-7.54297242215694,-39.1070839599938,231110
-10.0767956612468,-37.0157127322447,280470
-26.6828421928176,-53.0950560072135,420257
-2.42449291932901,-44.7869970397517,210190
-9.60048744985407,-37.2954777311008,270540
-12.8825339061842,-38.7588164378086,292730
-12.7377002806478,-38.6269916197396,291992
-5.76871007874918,-37.9722074652897,241360
-9.39048073248103,-37.5111222566392,270895
-1.09283784032958,-48.1824552916264,150700
-6.75542462856962,-37.5757613499528,250550
-6.47752271455174,-37.247078135151,241430
-9.49117769330976,-37.171943665156,270600
-9.37870916690542,-36.4070938497661,270660
-9.3826519978096,-37.0696535418976,270250
-7.33961652456055,-36.9313443857711,250850
-10.6641162770963,-36.9666893958126,280150
-10.2659142238091,-36.8986642551819,280160
-10.1925347368076,-36.888191287578,280730
-8.49604585735998,-36.76181917388,260060
-10.286707372875,-36.6355971485044,280640
-9.47302392649654,-36.4025127521809,270490
-9.47558442512439,-36.2852992427056,270700
-6.47595025488963,-36.2059120950753,251010
