lat,lon,terrai_cod,terrai_nom
-12.6529152467971,-61.3683399086377,66301,Tanaru ( restrição de uso )
-9.66940480149908,-61.0009671622559,66901,Piripkura ( restrição de uso )
-15.939213085129,-39.1794675772023,68901,Tupinambá de Belmonte
-4.0891049004015,-52.007763668682,72601,Ituna/Itata (restrição de uso)
-11.9555309170895,-49.7932087887019,73301,Taego Ãwa
-13.5460986712249,-51.3098945887433,73601,Wedezé
-23.4240034381504,-54.7082865311596,73702,Iguatemipegua I
-12.17043696076,-43.2512397328219,5701,Barra
-3.41689305972223,-64.63601980201,5901,Barreira da Missão
-5.68654158536468,-62.9988384583247,2801,Apurinã Igarapé Tauamirim
-9.30510319792733,-67.2174060746948,2901,Apurinã Km 124 BR-317
-11.0970846000862,-60.5985783687834,40701,Roosevelt
-14.595518607299,-58.6422856743471,11901,Estivadinho
-9.07437726977819,-67.1447107900825,6401,Boca do Acre
3.25162211018572,-61.2947344513697,6701,Boqueirão
-20.8611153692579,-55.1856758872346,7001,Buriti
-20.9395237991522,-54.9751080522955,7101,Buritizinho
-3.7181247676502,-46.3317245297091,9701,Caru
-6.78482016085066,-67.5360119526598,10901,Deni
-12.846719665155,-57.9699761694649,17301,Irantxe
-12.7556252560802,-57.6775473353422,17302,Manoki
-9.81092164712872,-71.7707275263944,20501,Kampa e Isolados do Rio Envira
-6.88784187801181,-69.0749338404118,20601,Kanamari do Rio Juruá
-4.37748319138468,-62.1412771716864,24201,Lago Aiapua
-6.04255190113423,-62.1985067368638,24301,Lago Capanã
-3.80719761105678,-61.2753399454243,24401,Lago do Beruri
-4.27224653473432,-59.9196473001756,24501,Lago do Limão
-3.21229984315559,-68.3469839108283,26801,Maraitá
-11.759567645981,-51.6901853729104,26901,Maraiwatsede
-2.88152904904005,-68.4634034250666,28101,Matintin
-6.62281283406675,-70.2825550183197,28201,Mawetek
-0.716527710011691,-67.6393883541426,28501,Médio Rio Negro I
-3.55255644276994,-59.0725215316745,32801,Paracuhuba
-20.2549220287319,-56.3619371238848,35201,Pilad Rebuá
-8.52435128353806,-39.3659948689644,46602,Truká
-11.1829781575147,-63.4782269386983,48201,Uru-Eu-Wau-Wau
-10.7052709319838,-51.2473158032475,48301,Urubu Branco
-9.05040546385106,-35.7136942384271,49701,Wassu-Cocal
-8.3139764049776,-61.9509358197331,44801,Tenharim Marmelos
-9.70695343120238,-53.8307966907421,44901,Terena Gleba Iriri
-16.5633360121148,-55.0954530508273,45001,Tereza Cristina
-23.8132379428169,-54.7471470190697,55001,Sombrerito
-7.98129561702532,-66.5837034807849,47101,Tumiã
-13.648356363327,-58.2698655621424,48501,Utiariti
-5.86071167267001,-71.3682237849759,48701,Vale do Javari
-19.870533405149,-40.1777431410105,8003,Tupiniquim
-23.8694871922158,-46.6503163376391,14201,Guarani da Barragem
-30.7603208390826,-51.6240469836683,14301,Guarani de Águas Brancas
-12.0751420927437,-43.2519257700886,15401,Ibotirama
-21.5647016497509,-50.3130523802141,15501,Icatu
-14.769682765312,-58.6468037130202,12801,Figueiras
-3.0275526644182,-65.2405870530135,29201,Miratu
-4.28219746888519,-56.0276587917753,37301,Praia do Índio
-4.25632124273274,-55.9737199142561,37401,Praia do Mangue
3.95737490207182,-51.7242206152226,13301,Galibi
